sku,department_id
POT-17-MS-GREY,DEP201902310759589113842
LUG-PP-LINE-2SET-BK,DEP201902310754091356863
BBQ-ROUND-GRILL-SS,DEP201902310754091356863
WD-B-366X50-BK,DEP201902310753504667490
PET-BIRDCAGE-B022-A,DEP201902310759589113842
DRESS-C-3D-WH,DEP201902310751444239204
BA-TW-H66-ORANGEX4,DEP201902310750063533502
MATTRESS-KING,DEP201902310751444239204
IM-ZB-01-SR,DEP201902310752047117844
RCAR-EVOQUE-BK,DEP201709261130013244134
KA-B-HOLD-03,DEP201902310759448558018
OD-S1502-BK,DEP201709261130013244134
MBED-C-26D-BK,DEP201902310751444239204
STV-UHD-55-BK,DEP201902310752047117844
FURNI-G-SHOE-4D3R-WH-BK-B,DEP201902310751444239204
RH-C-60-TWA04,DEP201902310752047117844
GO-SENSOR-LM102,DEP201902310759448558018
SWAG-EIN-GS-DA,DEP201902310759589113842
DL-1290-NDWA-FLWH-10,DEP201902310754091356863
DC-RLDV-305-BK,DEP201709261130013244134
MP-TC-D,DEP201902310751052943410
FR-EVA-STI-DM-36-BL,DEP201902310759589113842
HBL-NT-210W-SL,DEP201709261130013244134
POT-1300-MS-DG,DEP201902310759589113842
ATM-7-1-02M-MG,DEP201902310759448558018
FA-CHAIR-DIN470-GYX2,DEP201902310750063533502
AM-BOAT-BT-88822,DEP201902310759448558018
TAP-A-81H14-BK,DEP201902310750063533502
MA-S-GAS-USB-BK,DEP201902310751052943410
FS-LIN-002-LI-GY,DEP201902310750063533502
FS-LIN-003-GY,DEP201902310750063533502
BA-H-3927-NTX2,DEP201902310750063533502
BA-H-3928-NTX2,DEP201902310750063533502
HM-CHAIR-SWING-CREAM,DEP201902310754091356863
FS-LIN-004-BG,DEP201902310750063533502
ST-CAB-SHELF-3T-WH,DEP201902310751444239204
INVERT-M-2500W-BK,DEP201902310752195804722
FF-LOUNGE-ARM-BR,DEP201709261130013244134
FURNI-O-SHOE-8836-WH,DEP201902310751444239204
TDS-FS1044-6PC-GR,DEP201709261130013244134
FA-CHAIR-KID-PK,DEP201902310750063533502
UPHO-C-BAR-CHAX2,DEP201902310750063533502
TEEPEE-4P-TREE-BKWH,DEP201709261130013244134
POT-1139-MS-GREY,DEP201902310759589113842
