"combined_sku","department_id"
"CHP-GLASS-2000WIFI-BK-VAR","DEP20170811134628184"
"ECO-NHP-45L-BK-VAR","DEP20170811134628184"
"MP-BAM-KS-VAR","DEP20180822000000110"
"IM-ZB-07-SR-VAR","DEP20180822000000110"
"IM-ZB-07-BK-VAR","DEP20180822000000110"
"OCHAIR-9174-BK-VAR","DEP20180822000000110"
"SSG-INSERT-800-BK-VAR","DEP20170811134628184"
"BFRAME-E-POLA-D-BEIGE-AB-VAR","DEP20170811134628184"
"BA-K-7228-GYX2-VAR","DEP20170811134628184"
"CAMP-TOILET-20L-T-FC-CR-DOU-VAR2","DEP20170811134628184"
"FURNI-WALL-SHELF-WH-VAR","DEP20180822000000110"
"FURNI-GLOSS-SIDE-WH-VAR","DEP20180822000000110"
"SCOVER-PAD-3-CF-VAR","DEP20170811134628184"
"SBED-S290-LEA-ABC","DEP20180822000000110"
"SBED-S290-FABRIC-ABC","DEP20180822000000110"
"FURNI-SIDE-TAB38-AB","DEP20180822000000110"
"XMAS-INF-CANDY-8FT-VAR","DEP20170811134628184"
"SWAG-BIKER-GS-RD-VAR","DEP20180822000000110"
"ALUM-MESH-1020-SI-COM-50-VAR1","DEP20170811134628184"
"SBED-034-GY-AB","DEP20180822000000110"
"MP-MF-S-VAR","DEP20180822000000110"
"MP-MF-KS-VAR","DEP20180822000000110"
"MP-MF-D-VAR","DEP20180822000000110"
"MP-MF-Q-VAR","DEP20180822000000110"
"SBED-S280-FABRIC-ABC","DEP20170811134628184"
"WBLANKET-CT-2300-VAR","DEP20170811134628184"
"FURNI-C-BS-TOGO-WHX2","DEP20180822000000110"
"FURNI-WALL-SHELF-BK-VAR1","DEP20170811134628184"
"FURNI-C-DESK-JUNI-WH-AB","DEP20180822000000110"
"SJ-B-1505-SI-VAR","DEP20180822000000110"
"DIY-B-STORAGE-8MIX-WH-VAR1","DEP20170811134628184"
"FURNI-E-DRESS-WH-AB","DEP20180822000000110"
"FD-LCD-5-SS-BK-VAR","DEP20180822000000110"
"FLOOR-SBL-02-BK-VAR","DEP20180822000000110"
"FLOOR-SBL-02-CHA-VAR","DEP20180822000000110"
"OCHAIR-G-R8820-FT-BK-BU-VAR","DEP20170811134628184"
"WD-FILTER-22B-6T-VAR","DEP20170811134628184"
"MP-TC-Q-VAR","DEP20180822000000110"
"JE-CA-146-WAL-VAR","DEP20180822000000110"
"OCHAIR-M-RACER-BK-BU-VAR","DEP20180822000000110"
"MATTRESS-BET-S-VAR","DEP20180822000000110"
