sku,asin,type,product_sku,product_asin
FA-CHAIR-MIX-PARENT,B07SRXGP2Y,,FA-CHAIR-DIN470-GYX2,B077YGT273
FA-CHAIR-MIX-PARENT,B07SRXGP2Y,,UPHO-C-DIN-1016-BKX2,B07SR1VR5S
FA-CHAIR-WING-GY-PARENT,B07TPL2LR1,,FA-CHAIR-WING02-GY,B07G6XLMCZ
FA-CHAIR-WING-GY-PARENT,B07TPL2LR1,,FA-CHAIR-WING-LI-GY,B077YJ5QH5
FA-CHAIR-WINGX1-PARENT,B07V5QV7RM,,FA-CHAIR-WING02-BK,B07KDQF7KH
FA-CHAIR-WINGX1-PARENT,B07V5QV7RM,,FA-CHAIR-WING02-TA,B07GNYP55F
FA-CHAIR-WINGX2-PARENT,B07V2KHD55,,FA-CHAIR-WING-BK,B076P2PPMV
FAN-BDL-C-PARENT,B07QC5X1N4,,FAN-BDL-C-BK,B07KSQYHPX
FAN-BDL-C-PARENT,B07QC5X1N4,,FAN-BDL-C-SI,B07KSQT6WB
FD-031-GY-SS-PARENT,B07VYGRB8J,,FD-031-10-GY-SS,B0776SXMNB
FD-031-GY-SS-PARENT,B07VYGRB8J,,FD-031-6-GY-SS,B07798PCC3
FD-031-GY-SS-PARENT,B07VYGRB8J,,FD-031-8-GY-SS,B07799RC16
FD-B-1159-Parent,B07T3BB3NS,,FD-B-1159-RD,B07GXFKMKG
FD-B-1159-Parent,B07T3BB3NS,,FD-B-1159-RD-7,B07PGRVZZC
FD-B-1159-Parent,B07T3BB3NS,,FD-B-1159-SS,B07GXH2TFQ
FD-B-1159-Parent,B07T3BB3NS,,FD-B-1159-SS-7,B07MP96PZM
FD-B-1159-Parent,B07T3BB3NS,,FD-B-1159-TRAY-X2,B07PJVTJL3
FD-B-1159-Parent,B07T3BB3NS,,FD-B-1159-WH,B07GXJ1FDW
FD-B-1159-Parent,B07T3BB3NS,,FD-B-1159-WH-7,B07PJTS4ZR
FD-BT5-1142-PARENT,B0788Q6CZ1,,FD-BT5-1142-BK,B07895SRQX
FD-BT5-1142-PARENT,B0788Q6CZ1,,FD-BT5-1142-RD,B0776TSFQX
FD-BT5-1142-PARENT,B0788Q6CZ1,,FD-BT5-1142-WH,B0776SQYN8
FD-BT5-1142-TRAY-PARENT,B0788L6LZK,,FD-BT5-1142-BK-TRAY,B077YBRF7K
FD-BT5-1142-TRAY-PARENT,B0788L6LZK,,FD-BT5-1142-RD-TRAY,B077YBZMRG
FD-BT5-1142-TRAY-PARENT,B0788L6LZK,,FD-BT5-1142-WH-TRAY,B0785NQHDQ
FD-E-3-PARENT,B07RV1BXD2,,FD-E-306-SS,B07Q1W9VYP
FD-E-3-PARENT,B07RV1BXD2,,FD-E-310-SS,B07JL6X27H
FD-E-3-PARENT,B07RV1BXD2,,FD-E-333H-ST-BK,B07RQND13S
FD-E-3-PARENT,B07RV1BXD2,,FD-E-363-ST-BK,B07RQQBLDK
FD-SS-PARENT,B078N3Q7CX,,FD-SS-10,B0776TDN4R
FD-SS-PARENT,B078N3Q7CX,,FD-SS-6,B077XXT84H
FD-SS-PARENT,B078N3Q7CX,,FD-SS-8,B0776SDS3N
FF-PARENT,B07S39MQVC,,FF-TABLE-AL60-70,B07V6QC7S4
FF-PARENT,B07S39MQVC,,FF-TABLE-AL60-70110,B07V2CQBC3
FF-PARENT,B07S39MQVC,,FF-TABLE-GL80,B07V8RT6WF
FF-PARENT,B07S39MQVC,,FF-TABLE-WOOD60,B07S4DKN27
FIT-E-BAR-PARENT,B07Q9HVWR5,,FIT-E-BAR-168-RC3,B0777NXNHQ
FIT-E-BAR-PARENT,B07Q9HVWR5,,FIT-E-DB-PL-XL,B07BN8L8BZ
FIT-E-BENCH-PARENT,B07VWF19NY,,FIT-E-DB-PL-3XL,B0785P3CWB
FIT-E-BENCH-PARENT,B07VWF19NY,,FIT-E-SEGA-BRA-SET,B0777P2DJY
FIT-E-DB-BB-PARENT,B07RNZSLFQ,,FIT-E-DB-SET-20,
FIT-E-DB-BB-PARENT,B07RNZSLFQ,,FIT-E-DB-SET-15,
FIT-E-DB-BB-PARENT,B07RNZSLFQ,,FIT-E-DB-SET-35-A,
FIT-E-DB-BB-PARENT,B07RNZSLFQ,,FIT-E-DB-BB-30KG-BAR,B07C2PY6CY
FIT-E-DB-BB-PARENT,B07RNZSLFQ,,FIT-E-DB-BB-40KG-BAR,B077YC1ZS9
FIT-E-DB-BB-PARENT,B07RNZSLFQ,,FIT-E-DB-BB-50KG-BAR,B07CBZRHS2
FIT-E-DB-BB-PARENT,B07RNZSLFQ,,FIT-E-DB-BB-60KG-BAR,B07C2MP46D
FIT-E-DB-BB-PARENT,B07RNZSLFQ,,FIT-E-DB-SET-30-A,
FIT-E-DB-SET-PARENT,B07TF7LHTD,,FIT-E-DBR-PS6,B0777HWZNL
FIT-H-VP-PARENT,B07T8TFCH7,,FIT-H-VP-ROUND-RDDP,B07BFNPH7H
FIT-H-VP-PARENT,B07T8TFCH7,,FIT-H-VP-ROUND-WH,B0777K95RN
FLOOR-ARM-PARENT,B078JLYG97,,FLOOR-ARM-12LIN-LI-GY,B07RKSF4MM
FLOOR-ARM-PARENT,B078JLYG97,,FLOOR-ARM-BK,B077YHLTTF
FLOOR-ARM-PARENT,B078JLYG97,,FLOOR-ARM-CHA,B077YD62TD
FLOOR-ARM-PARENT,B078JLYG97,,FLOOR-ARM-GY,B078D79LZ7
FLOOR-OUT-PARENT,B07D8QFLHS,,FLOOR-CAMP-0156R-BK,B077YJ1YG9
FLOOR-OUT-PARENT,B07D8QFLHS,,FLOOR-CAMP-0156R-NV,B077YGC6VH
FLOOR-OUT-PARENT,B07D8QFLHS,,FLOOR-OUT-0302-BU,B077YGXXPQ
FLOOR-OUT-PARENT,B07D8QFLHS,,FLOOR-OUT-0302-GY,B0776V4NGV
FLOOR-ROTA-PARENT,B078JLGS2X,,FLOOR-ROTA-BK,B076P35QBS
FLOOR-ROTA-PARENT,B078JLGS2X,,FLOOR-ROTA-CHA,B077YFBNLC
FLOOR-ROTA-PARENT,B078JLGS2X,,FLOOR-ROTA-GY,B076P17ZP7
FLOOR-SBL-02-PARENT,B077YM9ZP9,,FLOOR-SBL-02-TA,B077YM9ZP9
