sku,asin,type,product_sku,product_asin
BA-TW-M2503-66FBX4,B078HM88DX,Combo,BA-TW-M2503-66FBX2,B078D78V46
BA-TW-M2503-66F-WHX4,B078HMF6MR,Combo,BA-TW-M2503-66F-WHX2,B077YMD82N
BA-TW-NEW1002A-GYX4,B078HYL6N5,Combo,BA-TW-NEW1002A-GYX2,B077YG3WR4
BA-TW-NEW1055-BGX4,B078HR4SM7,Combo,BA-TW-NEW1055-BGX2,B076P34YD8
BA-TW-NEW1055-BKX4,B078HP665Q,Combo,BA-TW-NEW1055-BKX2,B076P13B9X
BA-TW-NEW1055-BURGX4,B078HP8NQF,Combo,BA-TW-NEW1055-BURGX2,B077YFJLH9
BA-TW-NEW1055-CHOCX4,B078HRZCBW,Combo,BA-TW-NEW1055-CHOCX2,B07FJ77D72
BA-TW-NEW1055-CHOCX4,B078HRZCBW,Combo,BA-K-1055-CHX2,
BA-TW-NEW1055-GYX4,B078HZ48ZD,Combo,BA-TW-NEW1055-GYX2,B077YM9NFL
BA-TW-NEW1055-WHX4,B078HRW7SY,Combo,BA-TW-NEW1055-WHX2,B076NZZFMY
BA-TW-NEW1060A-BK-X4,B078HP8LFM,Combo,BA-K-1060A-BKX2,
BA-TW-NEW1060A-CH-X4,B078HRWD2P,Combo,BA-TW-NEW1060A-CH-X2,B077YMDWC1
BA-TW-NEW1060A-WH-X4,B078HMF2KY,Combo,BA-TW-NEW1060A-WH-X2,B079KZ91BQ
BA-TW-NEW4045-BKX4,B078HMB9VX,Combo,BA-TW-NEW4045-BKX2,B0785PCS45
BA-TW-NEW4045-WHX4,B078HP2PBW,Combo,BA-TW-NEW4045-WHX2,B077YKCV1X
BA-TW-NEW5046B-BKX4,B078HMB9VY,Combo,BA-TW-NEW5046B-BKX2,B0785QCVMQ
BA-TW-NEW5046B-BRONX4,B078HW9DRY,Combo,BA-TW-NEW5046B-BRONX2,B077YFDK6W
BA-TW-NEW5046-GLOSS-X4,B078HZVTSG,Combo,BA-TW-NEW5046-GLOSS-X2,B0784FDY21
BA-TW-NEWT1001-BKX4,B078HR6VSJ,Combo,BA-TW-NEWT1001-BKX2,B077YH76CT
